TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
22065.79492,42804.25781,2170.185547,3787.798584,27067.90625,26486.42383,1020.72937,0,2576.141846,1259.852905
0,0,0,0,0,0,0,0,0,0
84267.91406,62637.89453,7030.479492,5102.287598,52892.71094,36514.50391,2544.104736,2048.669678,17780.47656,10046.90918
6840.602539,4343.348145,738.503296,0,3874.401367,1018.472778,0,0,1091.733154,489.425385
0,0,0,0,0,0,0,0,0,0
10447.09766,10315.1709,427.026428,680.309448,6060.108398,3711.45459,469.949249,0,2575.105469,529.620239
0,0,0,0,0,0,0,0,0,0
8947.173828,6052.445312,0,0,5147.731934,3096.103516,0,0,829.197144,0
58477.75,42236.27344,2859.598633,2480.397705,33112.17188,22384.25586,1048.024536,0,9592.700195,6782.253418
0,0,0,0,0,0,0,0,0,0
36122.70703,35039.62109,2912.846924,1975.060913,26006.62305,17242.7832,1013.769897,514.049011,6292.927734,4641.67041
4292.620117,3768.063232,0,0,2691.438232,2019.17041,0,0,428.193726,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
16599.2168,11983.77832,633.564209,755.650146,10907.05176,7344.313965,0,0,2842.19165,2131.621582
0,0,0,0,0,0,0,0,0,0
3918.905273,3905.872314,0,0,3501.947754,2124.375244,0,0,503.347687,0
27697.00977,22348.73047,2939.32959,1961.458862,17301.01563,12159.40527,523.855896,0,6165.390137,3524.77124
21414.70508,17390.35742,2270.070557,2099.312012,13784.28809,9741.514648,987.204346,497.225494,5625.616699,2485.925537
8772.477539,6035.529785,445.643341,0,5755.448242,3492.878418,0,0,1185.974365,857.789185
7606.757324,5555.66748,572.404114,605.448792,4873.470215,3891.658447,0,0,1207.255493,431.817108
99032.60156,76105.91406,6249.875488,5029.972168,57541.25,40112.94922,2839.525391,2014.2677,18824.39063,9841.344727
8755.858398,5396.45459,0,0,3899.289551,2286.961182,0,0,1772.587158,1080.730225
163096.125,120984.1875,15150.16797,9130.541992,87784.44531,60677.69141,6155.453613,4808.478516,30656.61914,18957.93359
14169.17188,9977.644531,521.2948,512.490356,8547.570312,5812.99707,0,0,3143.020996,1249.624756
4175.819336,3228.371094,0,0,747.560669,1106.783691,0,0,1193.706421,0
8026.438965,4837.515137,0,0,3362.986328,1910.569458,0,0,1100.19873,615.895935
4549.116211,3004.563965,0,0,950.477356,685.092163,0,0,420.848267,0
13053.62402,8905.939453,0,0,7938.884277,4803.541504,0,0,2879.305908,743.984375
16087.69434,11961.18262,571.702209,499.004669,7921.962891,6976.168457,557.410095,0,3784.807861,2041.527466
5726.268066,4865.787598,0,0,2966.96167,2478.729736,0,0,759.448853,0
2837.278076,3944.890625,455.787354,0,2022.595703,1030.858154,0,0,688.837219,0
3501.849365,2539.355225,0,0,2281.277344,1267.312744,0,0,0,0
33131.56641,29182.02539,2770.199463,2294.666992,21587.7207,16031.92481,958.196289,654.301758,5478.480469,4570.694824
24602.72461,21087.51953,2004.725708,752.003174,16209.68066,9964.27832,447.039978,0,5918.111328,3187.523926
7167.925293,3035.374268,0,0,3609.657959,2093.659668,0,0,759.452271,0
3390.242432,3282.958496,0,0,1032.75415,502.633087,0,0,523.088745,0
3820.62207,3236.523193,382.231323,0,3261.320801,2384.851807,0,0,572.716797,0
13565.00977,10851.78613,714.587524,757.259583,7882.437988,6510.638184,0,0,2598.335449,1053.251587
134476.25,107728.8828,13417.30859,7562.611328,86245.89844,55072.39063,5162.991211,3124.935303,27941.43555,16426.76367
4433.608398,3312.181885,0,0,3046.262695,832.992126,0,0,488.270538,0
6007.01416,6000.741699,379.777832,0,3205.982666,3260.135742,0,0,0,0
44389.96875,37134.96484,0,0,26869.65234,22923.22461,0,0,8676.223633,4684.07373
59063.17188,55614.94434,2112.219727,3632.09961,38525.55566,31548.3877,1496.60849,1337.205383,12793.77002,6072.20166
19009.8418,13579.69434,578.082703,821.528503,10574.95801,7578.668945,0,0,3366.550293,2883.187988
14328.25977,11072.01563,696.219177,448.326416,9405.358398,6614.243164,482.063416,484.312012,3870.840332,690.350464
0,0,0,0,0,0,0,0,0,0
17425.10352,12366.35791,812.333313,1163.477417,10686.22022,8781.256836,787.32373,841.044922,3775.710083,1099.965301
5193.836914,4248.603516,0,0,3592.092285,2340.93335,0,0,779.677063,0
0,0,0,0,0,0,0,0,0,0
8024.180176,5918.722168,0,0,4361.897949,3544.680908,0,0,991.829834,1011.311768
0,0,0,0,0,0,0,0,0,0
26140.2168,20917.64648,1137.979126,1727.673096,15996.79492,9383.34082,458.996857,0,6697.62207,2222.066406
12086.2041,9647.118164,398.712921,0,6603.217773,5070.797363,0,566.164551,3130.546143,612.988586
0,0,0,0,0,0,0,0,0,0
12119.08789,9642.661133,821.999573,403.971771,7252.818359,4591.097656,0,0,1942.721069,746.18103
10874.83398,8624.631836,923.044678,0,7044.094238,4059.844482,0,0,1891.791138,925.540833
50737.96094,41077.62109,2442.687744,1860.151733,27136.27539,22188.96484,588.509277,552.643127,11769.07422,6182.927734
21601.95898,16285.10254,1148.608398,991.758118,12172.2627,7700,758.009949,0,4065.687256,2725.9729
34222.80078,24993.83984,2157.867432,1068.644775,16885.00781,11245.30859,935.94696,0,7861.967285,3821.780273
0,0,0,0,0,0,0,0,0,0
70103.9375,59856.90039,0,3743.256348,43868.10205,33319.00049,946.410339,918.878174,13292.37891,7827.40332
9522.69043,8168.716797,414.371979,0,5419.424805,4119.959473,0,0,988.160767,1016.872253
3645.45874,2931.371826,0,0,1081.453735,1988.290405,0,0,0,0
13424.41797,13539.4375,479.474609,597.967041,8707.635742,6608.999023,800.176208,445.935242,2781.57666,2055.508789
7826.15332,5961.786621,0,0,4309.269531,2931.464844,0,0,566.673828,1009.536377
7704.244629,17650.86523,0,1004.968872,11894.83887,10515.10742,0,0,0,0
8622.056641,5056.204102,0,0,4912.95459,3068.182861,0,0,1039.119751,501.398895
14542.76563,14098.34375,811.581238,0,9693.908203,8655.738281,0,505.821411,2679.018066,700.800537
0,0,0,0,0,0,0,0,0,0
